crop_name,variety,category,state,district,mandi_name,season,month,quantity_kg,grade,demand_index,historical_avg_price,unit_price,is_synthetic
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Kharif,8,3013.36,Grade A,0.79,35.78,33.84,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Rabi,8,4170.59,Grade A,0.85,26.96,24.81,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Rabi,9,1491.58,Grade A,1.33,62.77,88.87,True
Potato,Local,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Zaid,9,279.93,Grade C,1.33,17.14,19.74,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Year-Round,12,654.09,Grade A,1.19,42.63,53.98,True
Tomato,Desi,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Rabi,4,965.03,Grade A,1.76,20.35,42.08,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,8,4230.44,Grade B,1.5,33.24,49.66,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,9,1516.55,Grade B,0.8,21.92,16.36,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,11,1034.27,Grade A,1.45,25.95,42.31,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Rabi,7,4257.69,Grade A,1.14,44.12,56.8,True
Wheat,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,6,4441.7,Grade B,1.17,28.81,33.83,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,7,250.15,Grade A,1.45,24.7,43.87,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Year-Round,4,2838.21,Grade B,1.43,18.43,24.43,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,7,1484.27,Grade C,0.79,59.03,43.21,True
Mango,Local,Fruit,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,11,1655.51,Grade B,0.75,68.77,47.04,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Nashik APMC,Zaid,4,1795.22,Grade B,0.97,25.25,22.52,True
Green Chilli,Local,Spice,Maharashtra,Nashik,Nashik APMC,Zaid,8,4717.4,Grade A,0.99,46.04,50.98,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,12,1296.32,Grade A,1.2,22.85,28.86,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Vashi APMC,Kharif,12,304.82,Grade C,0.93,24.62,19.33,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,6,1248.17,Grade B,1.41,18.76,29.66,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Kharif,6,2024.18,Grade B,1.58,72.34,124.25,True
Groundnut,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Year-Round,4,1663.5,Grade A,0.86,58.91,59.12,True
Onion,Red,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,1,2017.98,Grade A,1.22,22.85,30.25,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,10,1326.81,Grade C,1.39,22.4,25.66,True
Mango,Local,Fruit,Maharashtra,Nashik,Nashik APMC,Rabi,12,2813.55,Grade C,1.66,61.87,77.99,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Year-Round,8,2052.32,Grade C,1.67,18.94,28.06,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Rabi,9,75.05,Grade C,0.79,20.69,14.02,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Kharif,5,935.17,Grade A,1.04,23.53,30.88,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Year-Round,6,1362.75,Grade B,0.89,24.85,24.52,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,5,2538.05,Grade B,1.29,66.56,87.89,True
