crop_name,variety,category,state,district,season,month,buyer_type,price,quantity_sold,historical_demand,is_holiday_event,demand_kg,is_synthetic
Rice,Common,Cereal,Karnataka,Bengaluru,Kharif,11,INDIVIDUAL,58.55,2326.45,2361.63,1,876.4,True
Wheat,Common,Cereal,Gujarat,Rajkot,Zaid,6,INDIVIDUAL,87.65,2153.18,2281.73,0,935.45,True
Mango,Local,Fruit,Punjab,Ludhiana,Kharif,12,WHOLESALER,52.93,617.34,662.01,0,771.4,True
Mango,Local,Fruit,Maharashtra,Mumbai,Year-Round,7,BUSINESS,58.21,837.24,825.14,0,912.77,True
Green Chilli,Local,Spice,Tamil Nadu,Chennai,Zaid,2,BUSINESS,85.49,542.66,478.4,0,419.88,True
Mango,Local,Fruit,Gujarat,Rajkot,Zaid,3,RETAILER,32.18,603.83,711.91,0,731.54,True
Rice,Basmati,Cereal,Uttar Pradesh,Agra,Rabi,4,INDIVIDUAL,87.63,2824.97,2554.66,1,1074.47,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Year-Round,10,RETAILER,33.91,945.73,1094.17,1,1259.53,True
Tomato,Hybrid,Vegetable,Tamil Nadu,Chennai,Zaid,9,RETAILER,27.5,1839.56,1654.65,0,1544.88,True
Rice,Common,Cereal,Tamil Nadu,Chennai,Year-Round,12,WHOLESALER,19.44,2963.74,2519.6,0,3926.72,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Year-Round,8,RESTAURANT,55.78,613.58,619.61,0,651.7,True
Rice,Common,Cereal,Madhya Pradesh,Indore,Zaid,9,WHOLESALER,13.98,2316.16,2791.39,0,5659.41,True
Onion,Red,Vegetable,Punjab,Ludhiana,Zaid,7,INDIVIDUAL,54.11,1788.06,1627.21,0,736.5,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Rabi,12,BUSINESS,29.04,1337.09,1198.63,0,1480.73,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Year-Round,9,RETAILER,33.23,721.31,821.81,0,785.01,True
Green Chilli,Local,Spice,Maharashtra,Nashik,Zaid,10,BUSINESS,31.04,494.59,525.03,1,740.25,True
Wheat,Common,Cereal,Tamil Nadu,Chennai,Year-Round,1,RETAILER,31.81,2267.72,2596.29,0,2265.02,True
Wheat,Common,Cereal,Maharashtra,Nashik,Zaid,1,WHOLESALER,51.21,2451.85,2509.78,0,3158.59,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Year-Round,10,BUSINESS,18.31,1037.69,1128.16,1,1931.09,True
Tomato,Desi,Vegetable,Uttar Pradesh,Agra,Rabi,11,RETAILER,23.76,1826.12,1482.17,1,1825.49,True
Potato,Local,Vegetable,Karnataka,Bengaluru,Year-Round,11,BUSINESS,13.29,1533.39,1520.88,1,2560.68,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Year-Round,7,WHOLESALER,77.34,1791.46,1571.04,0,2151.8,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Zaid,10,RESTAURANT,29.83,1093.02,1077.63,1,1595.0,True
Rice,Common,Cereal,Tamil Nadu,Chennai,Kharif,3,RESTAURANT,68.62,2835.27,2639.63,0,2525.48,True
